mole fraction,density,surface tension,xsph,
0,1100,0.072,0,
1,1100,0.072,0.1,
0.02,1100,0.072,0.2,
0.04,1100,0.072,0.3,
0.06,1100,0.072,0.4,
0.08,1100,0.072,0.5,
0.1,1100,0.072,0.6,
0.12,1100,0.072,0.7,
0.14,1100,0.072,0.8,
0.16,1100,0.072,0.9,
0.18,1100,0.072,1,
